GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,point_total,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10,cgp,wins,losses,winpercent,cgp_away,wins_away,losses_away,winpercen_away,hometeam-homewins,hometeam-awaywins,awayteam-homewins,awayteam-awaywins,avgpointtotal_home,avgpointtotal_away,meanpointtotal
2020-02-22,1610612766,1610612751,2019,86.0,115.0,201.0,99.6,107.85,110.85,110.4,55,19,36,0.345,54,25,29,0.463,8,11,16,9,205.2,210.04,207.62
2020-02-22,1610612737,1610612742,2019,111.0,107.0,218.0,116.05,122.15,116.3,112.35,57,16,41,0.281,56,34,22,0.607,10,6,15,19,220.2,222.84,221.51999999999998
2020-02-22,1610612748,1610612739,2019,124.0,105.0,229.0,112.2,109.8,109.15,117.35,55,35,20,0.636,55,15,40,0.273,22,13,7,8,214.12,218.0,216.06
2020-02-22,1610612741,1610612756,2019,104.0,112.0,216.0,106.25,112.3,108.85,110.95,56,19,37,0.339,56,22,34,0.393,11,8,11,11,203.48,219.52,211.5
2020-02-22,1610612749,1610612755,2019,119.0,98.0,217.0,119.55,109.05,107.15,107.55,55,47,8,0.855,56,35,21,0.625,25,22,26,9,221.2,213.28,217.24
2020-02-22,1610612762,1610612745,2019,110.0,120.0,230.0,116.85,110.8,116.9,115.05,55,36,19,0.655,55,35,20,0.636,20,16,19,16,209.16,226.36,217.76
2020-02-21,1610612753,1610612742,2019,106.0,122.0,228.0,104.7,107.75,115.25,112.35,55,24,31,0.436,55,33,22,0.6,15,9,15,18,206.88,222.84,214.86
2020-02-21,1610612764,1610612739,2019,108.0,113.0,221.0,114.35,118.45,108.2,116.35,53,20,33,0.377,54,14,40,0.259,13,7,7,7,216.08,218.0,217.04000000000002
2020-02-21,1610612752,1610612754,2019,98.0,106.0,204.0,106.25,112.8,110.55,110.45,55,17,38,0.309,55,32,23,0.5820000000000001,8,9,19,13,211.12,208.16,209.64
2020-02-21,1610612761,1610612756,2019,118.0,101.0,219.0,117.05,108.65,109.3,111.2,55,40,15,0.727,55,22,33,0.4,21,19,11,11,220.4,219.52,219.96
2020-02-21,1610612750,1610612738,2019,117.0,127.0,244.0,112.75,117.8,114.45,109.25,53,16,37,0.302,54,38,16,0.7040000000000001,7,9,23,15,222.48,221.48,221.98
2020-02-21,1610612760,1610612743,2019,113.0,101.0,214.0,114.5,110.35,113.2,109.7,55,33,22,0.6,55,38,17,0.691,17,16,21,17,221.6,218.4,220.0
2020-02-21,1610612762,1610612759,2019,104.0,113.0,217.0,116.85,109.2,113.25,112.45,54,36,18,0.667,54,23,31,0.426,20,16,14,9,207.8,217.48,212.64
2020-02-21,1610612747,1610612763,2019,117.0,105.0,222.0,118.55,110.7,116.4,111.45,53,41,12,0.774,55,28,27,0.509,18,23,16,12,224.56,215.4,219.98000000000002
2020-02-21,1610612757,1610612740,2019,115.0,128.0,243.0,115.65,118.0,121.2,118.25,56,25,31,0.446,55,23,32,0.418,15,10,11,12,228.96,226.76,227.86
2020-02-20,1610612765,1610612749,2019,106.0,126.0,232.0,107.55,109.1,119.4,108.85,57,19,38,0.333,54,46,8,0.852,11,8,25,21,219.44,221.2,220.32
2020-02-20,1610612737,1610612748,2019,129.0,124.0,253.0,115.35,122.1,111.65,109.2,56,15,41,0.268,54,35,19,0.648,9,6,22,13,217.96,214.12,216.04000000000002
2020-02-20,1610612755,1610612751,2019,112.0,104.0,216.0,107.6,107.8,110.55,110.2,55,34,21,0.618,53,25,28,0.472,25,9,16,9,212.44,210.04,211.24
2020-02-20,1610612741,1610612766,2019,93.0,103.0,196.0,106.7,113.3,100.6,109.2,55,19,36,0.345,54,18,36,0.333,11,8,8,10,202.24,205.2,203.72
2020-02-20,1610612758,1610612763,2019,129.0,125.0,254.0,112.3,114.85,116.3,111.4,54,21,33,0.389,54,28,26,0.519,11,10,16,12,214.44,215.4,214.92000000000002
2020-02-20,1610612744,1610612745,2019,105.0,135.0,240.0,108.85,119.15,115.75,116.15,55,12,43,0.218,54,34,20,0.63,7,5,19,15,216.76,226.36,221.56
2020-02-13,1610612738,1610612746,2019,141.0,133.0,274.0,114.4,107.85,116.15,111.3,53,37,16,0.698,54,37,17,0.685,22,15,22,15,218.08,225.12,221.60000000000002
2020-02-13,1610612740,1610612760,2019,118.0,123.0,241.0,121.6,118.5,113.8,109.6,54,23,31,0.426,54,32,22,0.593,11,12,17,15,225.12,221.6,223.36
